phrase_type,phrase,cases_with,occurrences
noun_chunk,the law,7,8
noun_chunk,the point,4,8
noun_chunk,the robbers,2,8
noun_chunk,the scene,5,8
noun_chunk,the use,5,8
noun_chunk,this Court,5,8
noun_chunk,those,5,8
noun_chunk,whom,7,8
noun_chunk,Alison Lewis,1,7
noun_chunk,Barry Schofield,1,7
noun_chunk,English,1,7
noun_chunk,Heather Stewart,1,7
noun_chunk,a conviction,6,7
noun_chunk,a party,2,7
noun_chunk,a result,6,7
noun_chunk,appeal,7,7
noun_chunk,course,6,7
noun_chunk,really serious harm,3,7
noun_chunk,respect,6,7
noun_chunk,the Tree Cathedral,1,7
noun_chunk,the crime,5,7
noun_chunk,the fatal shot,3,7
noun_chunk,the first shot,2,7
noun_chunk,the lay,1,7
noun_chunk,the others,2,7
noun_chunk,the river,1,7
noun_chunk,the shot,4,7
noun_chunk,the trial,5,7
noun_chunk,the trial judge,6,7
noun_chunk,time,5,7
noun_chunk,Anderson,2,6
noun_chunk,Azam,1,6
noun_chunk,India,1,6
noun_chunk,Lincoln,1,6
noun_chunk,Lyons,1,6
noun_chunk,Wayne Lambert,1,6
noun_chunk,What,6,6
noun_chunk,a case,3,6
noun_chunk,a knife,5,6
noun_chunk,a person,4,6
noun_chunk,a trial,6,6
noun_chunk,another person,1,6
noun_chunk,circumstances,5,6
noun_chunk,his co,5,6
noun_chunk,homicide,4,6
noun_chunk,law,3,6
noun_chunk,nothing,4,6
noun_chunk,order,5,6
noun_chunk,others,5,6
noun_chunk,robbery,1,6
noun_chunk,serious injury,3,6
noun_chunk,someone,4,6
noun_chunk,the Central Criminal Court,6,6
noun_chunk,the baby,2,6
noun_chunk,the body,3,6
noun_chunk,the charge,4,6
noun_chunk,the conclusion,4,6
noun_chunk,the count,3,6
noun_chunk,the court,4,6
noun_chunk,the events,5,6
noun_chunk,the house,5,6
noun_chunk,the intention,5,6
noun_chunk,the knife,3,6
noun_chunk,the light,6,6
noun_chunk,the night,5,6
noun_chunk,the police officers,2,6
noun_chunk,the question,4,6
noun_chunk,the sentence,3,6
noun_chunk,the shotgun,2,6
noun_chunk,the view,6,6
noun_chunk,the weapon,2,6
noun_chunk,this court,4,6
noun_chunk,Appeal,5,5
noun_chunk,Caffrey,1,5
noun_chunk,Cooper,1,5
noun_chunk,Count,5,5
noun_chunk,D. C. Richards,1,5
noun_chunk,D. S. Sartain,1,5
noun_chunk,D.C. Fairfax,1,5
noun_chunk,Evans,1,5
noun_chunk,July,5,5
noun_chunk,King,1,5
noun_chunk,Morris,1,5
noun_chunk,O'Brien,2,5
noun_chunk,P.C. Miles,1,5
noun_chunk,Robinson,2,5
noun_chunk,That,5,5
noun_chunk,The judge,3,5
noun_chunk,a gun,3,5
noun_chunk,a life sentence,5,5
noun_chunk,a matter,5,5
noun_chunk,a number,3,5
noun_chunk,a piece,2,5
noun_chunk,a police officer,3,5
noun_chunk,a sentence,3,5
noun_chunk,all,2,5
noun_chunk,bar,1,5
noun_chunk,blood,5,5
noun_chunk,conviction,4,5
noun_chunk,duress,2,5
noun_chunk,each,4,5
noun_chunk,events,5,5
noun_chunk,fact,5,5
noun_chunk,her body,4,5
noun_chunk,life,4,5
noun_chunk,self-defence,2,5
noun_chunk,some,4,5
noun_chunk,the common design,2,5
noun_chunk,the conspiracy,2,5
noun_chunk,the directions,3,5
noun_chunk,the effect,4,5
noun_chunk,the fact,4,5
noun_chunk,the ground,5,5
noun_chunk,the learned judge,4,5
noun_chunk,the moment,3,5
noun_chunk,the person,4,5
noun_chunk,the present case,4,5
noun_chunk,the prosecution case,3,5
noun_chunk,the two men,1,5
noun_chunk,the words,4,5
noun_chunk,violence,4,5
noun_chunk,Amanda Power,1,4
noun_chunk,Barras,1,4
noun_chunk,Bicester,1,4
noun_chunk,Commonwealth,1,4
noun_chunk,Dr Renshaw,1,4
noun_chunk,Fearon,1,4
noun_chunk,Gary Nelson,1,4
noun_chunk,James Hanratty,1,4
noun_chunk,Karelius Smith,1,4
noun_chunk,Lord Gifford,1,4
noun_chunk,Mark Sharp,1,4
noun_chunk,Michael Gregsten,1,4
noun_chunk,Moore,2,4
noun_chunk,Mrs. Nott,1,4
noun_chunk,P2,1,4
noun_chunk,Reg,1,4
noun_chunk,Russell,1,4
noun_chunk,The Court,3,4
noun_chunk,The jury,4,4
noun_chunk,The question,4,4
noun_chunk,This,4,4
noun_chunk,Wyatt,1,4
noun_chunk,a count,3,4
noun_chunk,a position,2,4
noun_chunk,a shield,1,4
noun_chunk,a weapon,2,4
noun_chunk,account,4,4
noun_chunk,acts,2,4
noun_chunk,an offence,4,4
noun_chunk,anyone,3,4
noun_chunk,causation,2,4
noun_chunk,defendants,2,4
noun_chunk,effect,3,4
noun_chunk,fatal injury,3,4
noun_chunk,his account,4,4
noun_chunk,his evidence,3,4
noun_chunk,his head,3,4
noun_chunk,his shotgun,1,4
noun_chunk,his wife,2,4
noun_chunk,killing,3,4
noun_chunk,liability,2,4
noun_chunk,murders,2,4
noun_chunk,no reason,4,4
noun_chunk,offences,4,4
noun_chunk,other words,3,4
noun_chunk,our judgment,4,4
noun_chunk,our view,3,4
noun_chunk,practice,4,4
noun_chunk,really serious bodily harm,4,4
noun_chunk,regard,4,4
noun_chunk,schedule,2,4
noun_chunk,sentences,3,4
noun_chunk,shot,1,4
noun_chunk,shots,3,4
noun_chunk,some harm,3,4
noun_chunk,something,4,4
noun_chunk,that basis,4,4
noun_chunk,"the
jury",4,4
noun_chunk,the Homicide Act,3,4
noun_chunk,the United Kingdom,2,4
noun_chunk,the back,3,4
noun_chunk,the car,2,4
noun_chunk,the door,3,4
noun_chunk,the gap,1,4
noun_chunk,the grounds,4,4
noun_chunk,the hall,1,4
noun_chunk,the investigation,2,4
noun_chunk,the joint criminal enterprise,1,4
noun_chunk,the lift shaft,1,4
noun_chunk,the minimum term,2,4
noun_chunk,the period,3,4
noun_chunk,the risk,3,4
noun_chunk,the secondary party,2,4
noun_chunk,the specific intent,2,4
noun_chunk,the trial Judge,2,4
noun_chunk,the way,3,4
noun_chunk,two shots,4,4
noun_chunk,4 October,3,3
noun_chunk,A,1,3
noun_chunk,A person,2,3
noun_chunk,B,1,3
noun_chunk,Betty,1,3
noun_chunk,Carl Bridgewater,1,3
noun_chunk,Criminal Appeal,3,3
noun_chunk,Darshan,1,3
noun_chunk,Domachevo,1,3
noun_chunk,Dr Arnold,1,3
noun_chunk,Evan Berry,1,3
noun_chunk,Gail Kinchen,1,3
noun_chunk,Gail's death,1,3
noun_chunk,Hyde,2,3
noun_chunk,Ian Stuart Lewis,1,3
noun_chunk,Iftikhar Naz,1,3
noun_chunk,J.S.,1,3
noun_chunk,Judgment,3,3
noun_chunk,Kenneth Cross,1,3
noun_chunk,London,3,3
noun_chunk,Mr Stewart,1,3
noun_chunk,Mr. Wood,1,3
noun_chunk,Reiss,1,3
noun_chunk,Roper,1,3
noun_chunk,Scott,1,3
noun_chunk,Section,3,3
noun_chunk,The Crown,3,3
noun_chunk,The Crown's case,3,3
noun_chunk,The case,2,3
noun_chunk,The murders,3,3
noun_chunk,Valerie Storie,1,3
noun_chunk,a cause,2,3
noun_chunk,a defence,3,3
noun_chunk,a defendant,3,3
noun_chunk,a direction,2,3
noun_chunk,a majority,3,3
noun_chunk,a reasonable man,1,3
noun_chunk,a secondary party,3,3
noun_chunk,a shotgun,3,3
noun_chunk,a statement,3,3
noun_chunk,a type,2,3
noun_chunk,a violation,1,3
noun_chunk,an accused person,1,3
noun_chunk,an indictment,3,3
noun_chunk,an intent,2,3
noun_chunk,an intention,2,3
noun_chunk,an unlawful act,1,3
noun_chunk,"attempted
murder",2,3
noun_chunk,capital murder,1,3
noun_chunk,concert,2,3
noun_chunk,constructive malice,2,3
noun_chunk,customs,1,3
noun_chunk,damage,1,3
noun_chunk,defendant,2,3
noun_chunk,drink,2,3
noun_chunk,drugs,2,3
noun_chunk,fatal injuries,1,3
noun_chunk,force,3,3
noun_chunk,her death,2,3
noun_chunk,his confession,2,3
noun_chunk,his conviction,3,3
noun_chunk,his direction,3,3
noun_chunk,his movements,2,3
noun_chunk,his view,3,3
noun_chunk,instance,3,3
noun_chunk,leave,3,3
noun_chunk,"life
imprisonment",3,3
noun_chunk,no case,2,3
noun_chunk,number,2,3
noun_chunk,one participant,2,3
noun_chunk,parties,3,3
noun_chunk,party,3,3
noun_chunk,police officers,2,3
noun_chunk,principle,3,3
noun_chunk,secondary parties,2,3
noun_chunk,sentencing,2,3
noun_chunk,serious harm,3,3
noun_chunk,sight,1,3
noun_chunk,some bodily injury,1,3
noun_chunk,suspicion,2,3
noun_chunk,that act,3,3
noun_chunk,that case,3,3
noun_chunk,"the
shooting",1,3
noun_chunk,"the 
 killing",1,3
noun_chunk,the actions,1,3
noun_chunk,the alternative,3,3
noun_chunk,the alternative count,1,3
noun_chunk,the assault,2,3
noun_chunk,the attackers,2,3
noun_chunk,the bag,2,3
noun_chunk,the bedroom,2,3
noun_chunk,the bottom,1,3
noun_chunk,the commencement,2,3
noun_chunk,the conduct,3,3
noun_chunk,the day,2,3
noun_chunk,the decision,3,3
noun_chunk,the doorway,2,3
noun_chunk,the end,3,3
noun_chunk,the farm,1,3
noun_chunk,the flat,2,3
noun_chunk,the full offence,1,3
noun_chunk,the gunmen,1,3
noun_chunk,the immediate cause,1,3
noun_chunk,the intent,3,3
noun_chunk,the joint enterprise,2,3
noun_chunk,the killings,1,3
noun_chunk,the laws,1,3
noun_chunk,the living room,1,3
noun_chunk,the mens rea,2,3
noun_chunk,the murder charge,2,3
noun_chunk,the murder count,3,3
noun_chunk,the murder trial,1,3
noun_chunk,the opinion,3,3
noun_chunk,the other hand,3,3
noun_chunk,the part,2,3
noun_chunk,the participants,1,3
noun_chunk,the possibility,3,3
noun_chunk,the present,2,3
noun_chunk,the purpose,3,3
noun_chunk,the report,2,3
noun_chunk,the room,2,3
noun_chunk,the same time,2,3
noun_chunk,the scope,3,3
noun_chunk,the section,3,3
noun_chunk,the sentences,3,3
noun_chunk,the shout,2,3
noun_chunk,the verdict,3,3
noun_chunk,the window,2,3
noun_chunk,things,2,3
noun_chunk,this evidence,3,3
noun_chunk,this man,2,3
noun_chunk,truth,3,3
noun_chunk,two counts,3,3
noun_chunk,wait,1,3
noun_chunk,war,1,3
noun_chunk,what extent,3,3
noun_chunk,whose case,1,3
noun_chunk,"""encouragement",1,2
noun_chunk,(second transcript,1,2
noun_chunk,100ml,1,2
noun_chunk,15 years' imprisonment,2,2
noun_chunk,24 December,1,2
noun_chunk,27th June,2,2
noun_chunk,30th April,2,2
noun_chunk,6 November,1,2
noun_chunk,Abdul Shahid,1,2
noun_chunk,Abdul Tahid,1,2
noun_chunk,Actual Bodily Harm,2,2
noun_chunk,Almeida,1,2
noun_chunk,Any right-thinking member,2,2
noun_chunk,April,2,2
noun_chunk,Ashley Road,1,2
noun_chunk,Assault,2,2
noun_chunk,August,2,2
noun_chunk,Bala,1,2
noun_chunk,Beard's case,1,2
noun_chunk,Belorussia,1,2
noun_chunk,Bernard Clark,1,2
noun_chunk,Brian Robinson,1,2
noun_chunk,Bristol,2,2
noun_chunk,Burglary,2,2
noun_chunk,Cher,1,2
noun_chunk,Cr App R,1,2
noun_chunk,David Morris,1,2
noun_chunk,Derek Jones,1,2
noun_chunk,Dr Bond,1,2
noun_chunk,Dr Wood,1,2
noun_chunk,Edmeads,1,2
noun_chunk,Eire,1,2
noun_chunk,Elenor,1,2
noun_chunk,England,1,2
noun_chunk,English law,1,2
noun_chunk,Evidence,2,2
noun_chunk,Forid Miah,1,2
noun_chunk,German occupation,1,2
noun_chunk,Gunn,1,2
noun_chunk,HMP Pentonville,1,2
noun_chunk,Hui Chi Ming,1,2
noun_chunk,January,2,2
noun_chunk,Jomir Miah,1,2
noun_chunk,June,2,2
noun_chunk,Lord Hope,1,2
noun_chunk,Louise Wan's evidence,1,2
noun_chunk,Luton,2,2
noun_chunk,Lyons' boot,1,2
noun_chunk,Mansingh,1,2
noun_chunk,Manslaughter,1,2
noun_chunk,McNee,1,2
noun_chunk,Miles,1,2
noun_chunk,"Mr
Kentridge",1,2
noun_chunk,"Mr
Saunders",1,2
noun_chunk,Mr Barras,1,2
noun_chunk,Mr Denyer,1,2
noun_chunk,Mr Harris,2,2
noun_chunk,Mr Horwell's primary submission,2,2
noun_chunk,Mr Justice Owen,2,2
noun_chunk,Mr Mumford,1,2
noun_chunk,"Mr and Mrs
Stirland",1,2
noun_chunk,Mr Martin,1,2
noun_chunk,Murder,2,2
noun_chunk,Nazi policy,1,2
noun_chunk,Nottingham,2,2
noun_chunk,Patrick Molloy,1,2
noun_chunk,Pordage,1,2
noun_chunk,Rattigan,1,2
noun_chunk,Redline,1,2
noun_chunk,Reid,1,2
noun_chunk,Rex,2,2
noun_chunk,Rukhsana,1,2
noun_chunk,Schedule,1,2
noun_chunk,Scott-Baker J.,2,2
noun_chunk,Sharpe,1,2
noun_chunk,Shazad,1,2
noun_chunk,Sheehan,1,2
noun_chunk,Smith,2,2
noun_chunk,The appellants,2,2
noun_chunk,The court,2,2
noun_chunk,The defence,2,2
noun_chunk,The evidence,2,2
noun_chunk,The indictment,2,2
noun_chunk,The learned judge,2,2
noun_chunk,The prosecution case,2,2
noun_chunk,The shotgun,2,2
noun_chunk,This appellant,2,2
noun_chunk,Victor Dinall,1,2
noun_chunk,a brutal murder,2,2
noun_chunk,a bullet,2,2
noun_chunk,a car,1,2
noun_chunk,a conclusion,2,2
noun_chunk,a conversation,2,2
noun_chunk,a day,2,2
noun_chunk,a fact,2,2
noun_chunk,a firearm,1,2
noun_chunk,a killing,2,2
noun_chunk,a lesser offence,2,2
noun_chunk,a manslaughter verdict,1,2
noun_chunk,a murder charge,2,2
noun_chunk,a murderous act,2,2
noun_chunk,a passage,2,2
noun_chunk,a possibility,1,2
noun_chunk,a pre-arranged plan,1,2
noun_chunk,a proportionate discount,1,2
noun_chunk,a re,1,2
noun_chunk,"a real
possibility",1,2
noun_chunk,a real possibility,1,2
noun_chunk,a robbery,2,2
noun_chunk,a series,1,2
noun_chunk,a victim,2,2
noun_chunk,a way,2,2
noun_chunk,accordance,2,2
noun_chunk,admissions,2,2
noun_chunk,alcohol,1,2
noun_chunk,all the circumstances,2,2
noun_chunk,an abnormality,1,2
noun_chunk,an acquittal,1,2
noun_chunk,an agreement,2,2
noun_chunk,an area,2,2
noun_chunk,an individual defendant,1,2
noun_chunk,an objectionable disparity,2,2
noun_chunk,an unlawful killing,2,2
noun_chunk,any,2,2
noun_chunk,any evidence,2,2
noun_chunk,any shot,2,2
noun_chunk,anything,2,2
noun_chunk,appropriate cases,2,2
noun_chunk,approximately 300mg,1,2
noun_chunk,area,1,2
noun_chunk,armed robbery,2,2
noun_chunk,arrest,1,2
noun_chunk,both appellants,2,2
noun_chunk,both hands,2,2
noun_chunk,both sides,2,2
noun_chunk,close range,2,2
noun_chunk,counts,2,2
noun_chunk,custody,2,2
noun_chunk,doubt,2,2
noun_chunk,drunkenness,1,2
noun_chunk,either,2,2
noun_chunk,everything,2,2
noun_chunk,examination,2,2
noun_chunk,excessive force,1,2
noun_chunk,felony-murder,1,2
noun_chunk,front,2,2
noun_chunk,furtherance,2,2
noun_chunk,her manslaughter,2,2
noun_chunk,herself,1,2
noun_chunk,his act,1,2
noun_chunk,his acts,2,2
noun_chunk,his appeal,2,2
noun_chunk,his arrest,1,2
noun_chunk,his case,2,2
noun_chunk,his death,1,2
noun_chunk,his directions,1,2
noun_chunk,his friend,2,2
noun_chunk,his mental responsibility,2,2
noun_chunk,his own guilt,1,2
noun_chunk,his role,1,2
noun_chunk,his self-control,1,2
noun_chunk,his son,1,2
noun_chunk,his state,2,2
noun_chunk,his trial,2,2
noun_chunk,i,2,2
noun_chunk,information,2,2
noun_chunk,injury,2,2
noun_chunk,intention,2,2
noun_chunk,itself,2,2
noun_chunk,justice,2,2
noun_chunk,length,2,2
noun_chunk,malice,1,2
noun_chunk,material,2,2
noun_chunk,mens rea,2,2
noun_chunk,murder cases,1,2
noun_chunk,no evidence,2,2
noun_chunk,no intent,2,2
noun_chunk,non,1,2
noun_chunk,none,2,2
noun_chunk,one,2,2
noun_chunk,one count,1,2
noun_chunk,opening,2,2
noun_chunk,paragraph,1,2
noun_chunk,policy,1,2
noun_chunk,possession,2,2
noun_chunk,prison,2,2
noun_chunk,process,1,2
noun_chunk,question,1,2
noun_chunk,re,2,2
noun_chunk,reality,2,2
noun_chunk,"really serious
injury",1,2
noun_chunk,really serious injury,2,2
noun_chunk,remand,2,2
noun_chunk,room,1,2
noun_chunk,seriousness,2,2
noun_chunk,similar effect,1,2
noun_chunk,some injury,2,2
noun_chunk,some other person,1,2
noun_chunk,some point,1,2
noun_chunk,somebody,2,2
noun_chunk,specific intention,2,2
noun_chunk,starting point,1,2
noun_chunk,such an approach,2,2
noun_chunk,such injury,2,2
noun_chunk,summary,2,2
noun_chunk,tension,1,2
noun_chunk,terms,2,2
noun_chunk,that count,2,2
noun_chunk,that date,2,2
noun_chunk,that death,1,2
noun_chunk,that intent,2,2
noun_chunk,that person,1,2
noun_chunk,that time,2,2
noun_chunk,"the
appellants",1,2
noun_chunk,"the
defence",2,2
noun_chunk,"the
defendant",2,2
noun_chunk,"the
intention",2,2
noun_chunk,"the
judge",2,2
noun_chunk,"the
murder",2,2
noun_chunk,the 12 th July,2,2
noun_chunk,the 30 year,1,2
noun_chunk,the Common Serjeant,1,2
noun_chunk,the Criminal Justice Act,2,2
noun_chunk,the DNA sample,2,2
noun_chunk,the Indictment,1,2
noun_chunk,the Judge,2,2
noun_chunk,the Offences,2,2
noun_chunk,the Pennsylvanian court,1,2
noun_chunk,the Person Act,2,2
noun_chunk,"the Tree
Cathedral",1,2
noun_chunk,the Vienna Hotel,1,2
noun_chunk,the War Crimes Act,1,2
noun_chunk,the abolition,2,2
noun_chunk,the absence,2,2
noun_chunk,the accused's behaviour,1,2
noun_chunk,the acts,2,2
noun_chunk,the aggravated burglary,2,2
noun_chunk,the allegation,2,2
noun_chunk,the alleged offence,2,2
noun_chunk,the appeal,2,2
noun_chunk,the appellant's conviction,2,2
noun_chunk,the applicant,2,2
noun_chunk,the appropriate sentence,2,2
noun_chunk,the area,2,2
noun_chunk,the argument,2,2
noun_chunk,the background,2,2
noun_chunk,the banister,2,2
noun_chunk,the battery,1,2
noun_chunk,the beginning,2,2
noun_chunk,the burglary,2,2
noun_chunk,the cartridges,2,2
noun_chunk,the cases,2,2
noun_chunk,the close,1,2
noun_chunk,the co,1,2
noun_chunk,the compelling evidence,2,2
noun_chunk,the context,1,2
noun_chunk,the danger,2,2
noun_chunk,the defendants,1,2
noun_chunk,the early hours,2,2
noun_chunk,the elements,1,2
noun_chunk,the evening,2,2
noun_chunk,the excitement,1,2
noun_chunk,the execution,2,2
noun_chunk,the existing levels,2,2
noun_chunk,the extent,2,2
noun_chunk,the fatal injuries,2,2
noun_chunk,the felony-murder doctrine,1,2
noun_chunk,the first sample,2,2
noun_chunk,the following direction,2,2
noun_chunk,the following terms,2,2
noun_chunk,the gunman,2,2
noun_chunk,the head,2,2
noun_chunk,the heat,1,2
noun_chunk,the infliction,2,2
noun_chunk,the information,2,2
noun_chunk,the injuries,2,2
noun_chunk,the interval,1,2
noun_chunk,the intruders,1,2
noun_chunk,the issue,2,2
noun_chunk,the issues,2,2
noun_chunk,the joint venture,2,2
noun_chunk,the judgment,2,2
noun_chunk,the kitchen,1,2
noun_chunk,the lay-by,1,2
noun_chunk,the line,2,2
noun_chunk,the matter,2,2
noun_chunk,the middle,2,2
noun_chunk,the mini,1,2
noun_chunk,the murder scene,1,2
noun_chunk,the murder weapon,1,2
noun_chunk,the murderer,2,2
noun_chunk,the muzzle,1,2
noun_chunk,the nature,2,2
noun_chunk,the necessary intent,2,2
noun_chunk,"the new
regime",2,2
noun_chunk,the newspaper boy,1,2
noun_chunk,the number,2,2
noun_chunk,the occasion,1,2
noun_chunk,the organisation,1,2
noun_chunk,the other offences,1,2
noun_chunk,the other party,1,2
noun_chunk,the other side,2,2
noun_chunk,the party,1,2
noun_chunk,the piece,1,2
noun_chunk,the place,2,2
noun_chunk,the plea,1,2
noun_chunk,the police officer,1,2
noun_chunk,the police station,2,2
noun_chunk,the position,2,2
noun_chunk,the presence,1,2
noun_chunk,the principal,1,2
noun_chunk,the principles,2,2
noun_chunk,the profile,2,2
noun_chunk,the proposition,1,2
noun_chunk,the provisions,2,2
noun_chunk,the proviso,2,2
noun_chunk,the public,2,2
noun_chunk,the range,2,2
noun_chunk,the requisite intent,2,2
noun_chunk,the result,2,2
noun_chunk,the right,1,2
noun_chunk,the sentencing decision,1,2
noun_chunk,the sentencing judge,2,2
noun_chunk,the side,2,2
noun_chunk,the single judge,2,2
noun_chunk,the spent cartridge,1,2
noun_chunk,the spread,1,2
noun_chunk,the staircase,1,2
noun_chunk,the store,1,2
noun_chunk,the test,2,2
noun_chunk,"the trial
process",2,2
noun_chunk,the two defendants,2,2
noun_chunk,the two police officers,1,2
noun_chunk,the verdicts,2,2
noun_chunk,the victim's death,1,2
noun_chunk,the wall,1,2
noun_chunk,the woman,1,2
noun_chunk,their verdict,2,2
noun_chunk,themselves,2,2
noun_chunk,these,2,2
noun_chunk,these appellants,1,2
noun_chunk,these circumstances,2,2
noun_chunk,these two areas,1,2
noun_chunk,this appeal,2,2
noun_chunk,this point,2,2
noun_chunk,this question,2,2
noun_chunk,those cases,1,2
noun_chunk,times,2,2
noun_chunk,upward adjustment,2,2
noun_chunk,use,2,2
noun_chunk,very serious injury,1,2
noun_chunk,violent disorder,1,2
noun_chunk,weapons,2,2
noun_chunk,whatever,2,2
noun_chunk,whoever,2,2
noun_chunk,years,2,2
noun_chunk,""" a passage",1,1
noun_chunk,"""The legal situation",1,1
noun_chunk,"""incited
Craig",1,1
noun_chunk,"""preparation",1,1
noun_chunk,"""the appellant",1,1
noun_chunk,"""withdrawal",1,1
noun_chunk,'s,1,1
noun_chunk,(3) SA1,1,1
noun_chunk,(A,1,1
noun_chunk,(B,1,1
noun_chunk,(Bangy,1,1
noun_chunk,(Squeaky,1,1
noun_chunk,(a) criminal negligence,1,1
noun_chunk,(b,1,1
noun_chunk,(b) provocation,1,1
noun_chunk,(c,1,1
noun_chunk,(d,1,1
noun_chunk,(supra,1,1
noun_chunk,) personal safety,1,1
noun_chunk,", ""a person",1,1
noun_chunk,", then failure",1,1
noun_chunk,- (a,1,1
noun_chunk,- Judgment,1,1
noun_chunk,-- two murders,1,1
noun_chunk,.,1,1
noun_chunk,"1
AB",1,1
noun_chunk,1 April,1,1
noun_chunk,1 September,1,1
noun_chunk,1 WLR,1,1
noun_chunk,1.3 metres,1,1
noun_chunk,10th April,1,1
noun_chunk,11 September,1,1
noun_chunk,11th July,1,1
noun_chunk,11th June,1,1
noun_chunk,11th September,1,1
noun_chunk,12 months' imprisonment concurrent,1,1
noun_chunk,12 or 13 cartridges,1,1
noun_chunk,12 years,1,1
noun_chunk,12 years' imprisonment,1,1
noun_chunk,121 Ky.,1,1
noun_chunk,12th November,1,1
noun_chunk,12th October,1,1
noun_chunk,13 January,1,1
noun_chunk,14 October,1,1
noun_chunk,140 Clarence Road,1,1
noun_chunk,15 January,1,1
noun_chunk,16 Cox CC,1,1
noun_chunk,16th November,1,1
noun_chunk,17 February,1,1
noun_chunk,18 January 2000 JUDGMENT LORD CHIEF JUSTICE,1,1
noun_chunk,"18),this Court",1,1
noun_chunk,"18th
December",1,1
noun_chunk,18th February,1,1
noun_chunk,19 April,1,1
noun_chunk,19 September,1,1
noun_chunk,1963] AC,1,1
noun_chunk,19th June,1,1
noun_chunk,1A,1,1
noun_chunk,1st January,1,1
noun_chunk,2 November,1,1
noun_chunk,2 Plowden,1,1
noun_chunk,2.30 pm,1,1
noun_chunk,2/3 June,1,1
noun_chunk,20 years,1,1
noun_chunk,22 and 26 August,1,1
noun_chunk,22 years,1,1
noun_chunk,22nd,1,1
noun_chunk,25 th May,1,1
noun_chunk,25 years,1,1
noun_chunk,26 July,1,1
noun_chunk,26 th March,1,1
noun_chunk,27 September,1,1
noun_chunk,27th January,1,1
noun_chunk,27th March,1,1
noun_chunk,28th June,1,1
noun_chunk,29 Criminal Appeal Reports,1,1
noun_chunk,29th,1,1
noun_chunk,29th February,1,1
noun_chunk,29th June,1,1
