canonical_label,synonyms_and_variants
encounter,"meeting, rendezvous, arranged to meet, came across, came into contact, crossed paths, met up, came together, had an encounter, ran into, bumped into, confronted each other, engaged with, found oneself with, came face to face, stumbled upon, interacted with, had a meeting, encountered one another, came across each other, saw each other, had a run-in, met by chance, had a brush with"
flight_after_offence,"fled scene, evaded police, attempted escape, left the scene, made off from the scene, ran from the police, absconded after the crime, took flight, escaped the area, left hurriedly, drove away quickly, evaded capture, fled the jurisdiction, departed the location, disappeared from sight, bolted from the scene, made a getaway, sought to evade arrest, vanished after the incident, hastily exited, retreated from the scene, eluded law enforcement, slipped away, ran away"
joint_enterprise_presence,"with others, together with, acting in concert, group attack, acting alongside others, in collaboration with others, in the company of others, jointly engaged, working together, in concert with others, participating with others, together in the act, collective action, shared intent, cooperating with accomplices, acting as a group, in association with others, joint involvement, acting in unison, together as a group, colluding with others, conspiring with others, group involvement, acting as one"
location_private_dwelling,"at home, private address, inside the house, domestic premises, in the residence, within the home, domestic location, private residence, in the household, inside the dwelling, personal living space, at the property, within the premises, in a private home, inside the flat, in a family home, at the address, in the living quarters, in a domestic setting, in the home environment, at the private property, inside the abode, in a residential area, within the household premises"
location_public_space,"street, public place, outside, in the road, park, in a public area, on the pavement, in a crowded venue, at a bus stop, in a shopping district, on the sidewalk, in a recreational space, at a train station, in a town square, in a public park, on the street corner, in an open space, in a city center, in a communal area, on the high street, in a public thoroughfare, in the vicinity, at a festival, in a parking lot, in a nightlife area"
motive_financial_gain,"for gain, financial motive, insurance, robbery motive, profit motive, monetary gain, financial incentive, economic benefit, greed-driven, financially motivated, gain from death, insurance payout, robbery-related, financially beneficial, lucrative outcome, material gain, financial reward, money-driven, cash incentive, profit-driven, wealth acquisition, financial advantage, economic gain, financially incentivized"
motive_jealousy_revenge,"jealousy, revenge, retaliation, tit-for-tat, driven by jealousy, act of revenge, revenge killing, jealous rage, retaliatory attack, jealous obsession, payback for betrayal, revengeful motive, spiteful act, retaliation for infidelity, vengeful intent, jealous heart, tit-for-tat violence, settling the score, personal vendetta, emotional turmoil, anger over betrayal, desire for retribution, jealous outburst, retribution for wrongs"
planning_premeditation,"premeditated, planned, lay in wait, reconnaissance, preparation, false alibi, procured weapon, researched methods, deliberate intent, forethought, carefully orchestrated, methodical approach, intentional design, calculated act, premeditated scheme, advance planning, covert operation, strategic execution, arranged meeting, concealed intentions, prepared in advance, systematic plotting, planned attack, prior arrangement, evidence of planning, thought out in advance, deliberate preparation, premeditated design"
poisoning,"poisoned, administered poison, toxic substance, antifreeze, deliberate poisoning, lethal substance, administered toxic agent, toxic chemical, poisonous compound, ingested poison, poisoning method, substance causing harm, harmful agent, fatal dose, chemical poisoning, toxicology report, poisoning with intent, administered harmful substance, poisonous mixture, deliberate administration of poison, poisoning scheme, poisoned drink, toxic exposure, antifreeze poisoning, malicious poisoning"
post_offence_burial,"buried the body, concealed remains, shallow grave, disposed of the body, interred the remains, hidden the corpse, buried in a remote location, placed in a grave, concealed the body, secret burial site, disposed of in a shallow grave, covered the remains, hidden in the woods, buried in a garden, dumped the body, concealed in a ditch, hidden under debris, interred in an unmarked grave, buried in a field, disposed of in a river, concealed in a cellar, buried in a back garden, hidden in a forest"
prior_assault,"previous assault, earlier attack, day before attack, prior violence, prior physical altercation, previous violent incident, earlier confrontation, prior attack, earlier physical assault, previous aggression, prior incident of violence, previous assaultive behavior, earlier violent encounter, prior history of violence, prior abusive behavior, previously reported assault, prior domestic violence, earlier attack history, previous physical conflict, prior altercation, previously documented assault, prior threats of violence, earlier violent behavior"
prior_conflict,"prior dispute, ongoing feud, animosity, bad blood, history of animosity, previous altercation, longstanding rivalry, prior disagreements, hostile relationship, ongoing tension, past confrontations, feud between parties, previous conflicts, bad feelings, grudge held, prior hostility, clash of personalities, longstanding dispute, bitter resentment, previous quarrel, ongoing discord, strained relations, past grievances, unresolved issues"
prior_threats,"threatened to kill, uttered threats, menacing messages, threats of violence, made threats to harm, threatened with violence, expressed intent to kill, threatened to take life, communicated threats, verbal threats made, threats of death, intimidating messages sent, threatening behavior exhibited, threats conveyed, menacing statements, threats of serious harm, threatened physical violence, warnings of violence, hostile threats, threatening remarks, expressed threats, threats of injury, violent threats made, threats communicated"
strangulation,"strangled, throttled, compression of neck, chokehold, neck constriction, manual strangulation, pressure on throat, suffocation by neck, neck hold applied, asphyxiation by choking, gripped around the neck, throat compression, stranglehold used, choking action, force applied to neck, strangled with hands, throttling motion, interference with breathing, neck grasp, choked to death, strangulation method, suffocating grip, throat hold, strangulation technique"
tied_restraint,"tied to a tree, bound hands, gagged, restrained, secured to a post, fastened with rope, chained to a location, held against their will, trussed up, bound and gagged, restricted movement, confined to a spot, tied up, immobilized by restraints, held captive, secured with duct tape, strapped down, bound with cords, tethered to an object, gagged and bound, physically restrained, held in bondage, constrained by ties, affixed to a structure"
victim_intoxicated,"victim intoxicated, drunk victim, under the influence, intoxicated victim, victim was drinking, victim had been drinking, victim's alcohol consumption, victim under the influence, drunken state of the victim, victim's impaired judgment, victim affected by alcohol, victim inebriated, victim's intoxication level, victim's blood alcohol content, victim was tipsy, victim was wasted, victim's drunken behavior, victim intoxicated at the time, victim's state of inebriation, victim's alcohol-fueled actions, victim was slurring, victim had consumed alcohol, victim's intoxicated condition"
weapon_blunt,"blunt instrument, baseball bat, blunt weapon, heavy object, metal pipe, wooden club, fist or foot, crowbar, baton, brass knuckles, stick or rod, hammer, bottle, rock or stone, shovel, blunt end, mace, bludgeoning tool, kitchen utensil, hard surface, improvised weapon, solid object"
weapon_firearm,"gun, handgun, pistol, shotgun, firearm, firearm weapon, automatic weapon, revolver, assault rifle, handgun firearm, shotgun blast, gunshot wound, firearm discharge, illegally held firearm, loaded gun, gun possession, deadly weapon, firearm-related offense, pistol grip, sawed-off shotgun, gun violence, weapon used, firearm in commission, gun crime, handgun violence"
weapon_petrol_fire,"petrol, accelerant, set alight, doused in petrol, burned alive, ignited with petrol, petrol-soaked, lit with accelerant, set on fire, firebombed, gasoline used, burnt with petrol, petrol ignition, flame-throwing, fire started with petrol, doused in accelerant, arson with petrol, petrol fire, incendiary device, burned with gasoline, petrol explosion, fire started deliberately, petrol-fueled fire, deliberate ignition, set ablaze"
weapon_present,"weapon available, armed, carried a weapon, in possession of a weapon, had a firearm, wielded a knife, equipped with a weapon, armed with a gun, carrying a blade, possessed a weapon, held a weapon, armed during the incident, weapon in hand, brandished a weapon, carried a firearm, had a deadly weapon, armed and dangerous, weapon at the scene, access to a weapon, weapon used in attack, brought a weapon, weapon involved in crime, weapon present at the time"
weapon_sharp,"knife, bladed article, sharp instrument, cutting weapon, sharp object, stabber, blade, sharpened tool, kitchen knife, folding knife, combat knife, dagger, sword, shank, machete, scalpel, slicing instrument, pointed object, sharp-edged tool, utility knife, carving knife, switchblade, screwdriver"
withdrawal_from_joint_enterprise,"withdrew from enterprise, disengaged, renunciation, distanced from the plan, stepped back from involvement, pulled away from the group, exited the joint venture, dissociated from the actions, withdrew from participation, renounced the agreement, severed ties with co-defendants, abandoned the enterprise, declined to engage further, opted out of the scheme, disassociated from the crime, refused to take part, withdrew consent to act, retreated from the conspiracy, disengaged from the activity, denied any further involvement, retracted support for the plan, distanced oneself from the crime, chose not to participate"
