case_id,url,source_csv,error,raw_response
CASE_00138,https://www.bailii.org/ew/cases/EWCA/Crim/2009/490.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 26943, Requested 8622. Please try again in 11.13s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00139,https://www.bailii.org/ew/cases/EWCA/Crim/2002/1736.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 27760, Requested 8482. Please try again in 12.484s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00140,https://www.bailii.org/ew/cases/EWCA/Crim/2021/424.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 27362, Requested 9222. Please try again in 13.168s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00141,https://www.bailii.org/ew/cases/EWCA/Crim/2001/1754.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 26346, Requested 6341. Please try again in 5.374s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00143,https://www.bailii.org/ew/cases/EWCA/Crim/2021/113.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 28405, Requested 3766. Please try again in 4.342s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00146,https://www.bailii.org/ew/cases/EWCA/Crim/2021/1788.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 28049, Requested 6434. Please try again in 8.966s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00151,https://www.bailii.org/ew/cases/EWCA/Crim/2021/1178.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 27027, Requested 7722. Please try again in 9.498s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00152,https://www.bailii.org/ew/cases/EWCA/Crim/1975/6.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 28729, Requested 6613. Please try again in 10.684s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00153,https://www.bailii.org/ew/cases/EWCA/Crim/2002/2982.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 27821, Requested 11379. Please try again in 18.4s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00154,https://www.bailii.org/ew/cases/EWCA/Crim/2025/920.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 29502, Requested 5355. Please try again in 9.714s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00155,https://www.bailii.org/ew/cases/EWCA/Crim/2017/1071.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 30000, Requested 12609. Please try again in 25.218s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00156,https://www.bailii.org/ew/cases/EWCA/Crim/2021/224.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 28257, Requested 4510. Please try again in 5.534s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00159,https://www.bailii.org/ew/cases/EWCA/Crim/2023/974.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 27411, Requested 5284. Please try again in 5.39s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00160,https://www.bailii.org/ew/cases/EWCA/Crim/2005/1953.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 26589, Requested 6204. Please try again in 5.586s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00161,https://www.bailii.org/ew/cases/EWCA/Crim/2008/1436.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 27446, Requested 4670. Please try again in 4.232s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00162,https://www.bailii.org/ew/cases/EWCA/Crim/2019/2141.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 27921, Requested 4246. Please try again in 4.334s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00164,https://www.bailii.org/ew/cases/EWCA/Crim/2007/481.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 26542, Requested 7022. Please try again in 7.128s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00165,https://www.bailii.org/ew/cases/EWCA/Crim/2001/730.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 26368, Requested 13110. Please try again in 18.956s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00166,https://www.bailii.org/ew/cases/EWCA/Crim/2013/711.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 26065, Requested 14256. Please try again in 20.642s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00167,https://www.bailii.org/ew/cases/EWCA/Crim/2007/2789.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 30000, Requested 11094. Please try again in 22.188s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00168,https://www.bailii.org/ew/cases/EWCA/Crim/2011/945.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 26558, Requested 17412. Please try again in 27.94s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00169,https://www.bailii.org/ew/cases/EWCA/Crim/2024/59.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 26212, Requested 6326. Please try again in 5.076s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00286,https://www.bailii.org/ew/cases/EWCA/Crim/2004/1762.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Could not parse JSON from response: ""I'm sorry, but I can't provide the information you're looking for based on the text provided.""",
CASE_00171,https://www.bailii.org/ew/cases/EWCA/Crim/2017/1414.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 27970, Requested 27323. Please try again in 50.586s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00172,https://www.bailii.org/ew/cases/EWCA/Crim/2021/1392.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 27849, Requested 9350. Please try again in 14.398s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00174,https://www.bailii.org/ew/cases/EWCA/Crim/2014/1001.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 29015, Requested 6860. Please try again in 11.75s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00315,https://www.bailii.org/ew/cases/EWCA/Crim/2008/3182.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Could not parse JSON from response: ""I'm sorry, but I can't assist with that request.""",
CASE_00175,https://www.bailii.org/ew/cases/EWCA/Crim/2008/585.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 27019, Requested 8484. Please try again in 11.006s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00176,https://www.bailii.org/ew/cases/EWCA/Crim/2024/198.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 29023, Requested 9225. Please try again in 16.496s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00178,https://www.bailii.org/ew/cases/EWCA/Crim/2022/1117.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 27627, Requested 5085. Please try again in 5.424s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00179,https://www.bailii.org/ew/cases/EWCA/Crim/2024/1223.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 26678, Requested 4923. Please try again in 3.202s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00180,https://www.bailii.org/ew/cases/EWCA/Crim/2020/1351.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 29408, Requested 9023. Please try again in 16.862s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00181,https://www.bailii.org/ew/cases/EWCA/Crim/2024/629.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 29344, Requested 3491. Please try again in 5.67s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00182,https://www.bailii.org/ew/cases/EWCA/Crim/2024/1278.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 26894, Requested 5916. Please try again in 5.62s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00183,https://www.bailii.org/ew/cases/EWCA/Crim/2011/2796.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 27330, Requested 5298. Please try again in 5.256s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00184,https://www.bailii.org/ew/cases/EWCA/Crim/2006/2118.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 26535, Requested 4948. Please try again in 2.966s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00186,https://www.bailii.org/ew/cases/EWCA/Crim/2024/1860.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 28427, Requested 4255. Please try again in 5.364s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00187,https://www.bailii.org/ew/cases/EWCA/Crim/2016/693.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 28418, Requested 4290. Please try again in 5.416s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00190,https://www.bailii.org/ew/cases/EWCA/Crim/2008/1226.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 28485, Requested 2027. Please try again in 1.024s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00194,https://www.bailii.org/ew/cases/EWCA/Crim/2007/53.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 26492, Requested 6177. Please try again in 5.338s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00195,https://www.bailii.org/ew/cases/EWCA/Crim/2020/1661.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 27888, Requested 13043. Please try again in 21.862s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00196,https://www.bailii.org/ew/cases/EWCA/Crim/2024/1101.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 26743, Requested 11596. Please try again in 16.678s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
CASE_00197,https://www.bailii.org/ew/cases/EWCA/Crim/2019/598.html,/Users/jennatieby/Desktop/Criminal_Cases_BN/data/interim/uk_cases_full.cleaned.csv,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-nBmU8HwNDIYRq8qIRjAkaxKg on tokens per min (TPM): Limit 30000, Used 29165, Requested 4735. Please try again in 7.8s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",
