canonical_label,synonyms_and_variants
financial_transactions_gain,"insurance, payment for killing, financial gain traces, monetary motive, profit from crime, financial incentive, gain from murder, insurance payout, payment for death, financial reward, economic benefit, remuneration for killing, financially motivated, lucrative arrangement, cash for killing, money trail, financial advantage, wealth from homicide, economic gain, financially driven, profit motive, compensation for death, financial exploitation"
fingerprint_match_on_weapon,"fingerprints on weapon, latent prints match, fingerprint evidence on weapon, prints found on firearm, fingerprints recovered from knife, latent fingerprints on weapon, matching prints on the object, fingerprint analysis of weapon, identifying prints on weapon, fingerprint connection to crime, forensic print match, fingerprint trace on weapon, evidence of prints on weapon, fingerprint identification on knife, weapon linked by fingerprints, fingerprint recovery from scene, prints discovered on murder weapon, forensic evidence of fingerprints, fingerprint match with suspect, fingerprint presence on object, fingerprint correlation with evidence, fingerprints implicating suspect"
gunshot_residue_gsr,"GSR, gunshot residue detected, gunshot residue analysis, firearm discharge residue, GSR testing results, gunshot residue found, residue from firearm, gunshot residue evidence, GSR presence detected, firearm residue analysis, gunshot residue sample, residue analysis report, gunshot residue examination, GSR positive result, gunshot residue collection, firearm discharge evidence, gun residue findings, GSR identification, gunshot residue traces, firearm-related residue, gunshot residue tests, GSR contamination detected"
inconsistent_statements,"changed account, inconsistent version, conflicting statements, contradictory evidence, varying testimonies, discrepancies in statements, altered narrative, shifting accounts, inconsistent testimony, conflicting accounts, different versions, incongruent statements, mutually exclusive claims, divergent recollections, unreliable witness, inconsistent recollections, changing stories, contradictory claims, varying accounts, inconsistent declarations, shifting narratives, conflicting evidence, altered statements"
injury_defensive_wounds,"defensive wounds, defence-type injuries, defensive injuries, self-defense wounds, injuries from defense, wounds from defending oneself, protection-related injuries, marks of self-defense, defensive cuts, injuries indicative of defense, self-protective wounds, wounds sustained in defense, defensive trauma, injuries from a struggle, defensive lacerations, wounds from resisting attack, self-defense marks, injuries from countering assault, defensive abrasions, wounds acquired in protection, injuries from evasion, defensive slash wounds"
medical_history_mental_impairment,"history of mental illness, recognised medical condition, history of psychiatric issues, mental health diagnosis, previous mental health treatment, diagnosed mental disorder, mental impairment history, psychological condition, history of depression, bipolar disorder history, schizophrenia diagnosis, mental health problems, cognitive impairment, emotional instability, mental illness background, psychological issues, mental health difficulties, history of anxiety, recognized psychiatric condition, mental health concerns, history of trauma, neurodevelopmental disorder"
messages_prior_threats,"text threats, messages threatening, WhatsApp threats, threatening communications, intimidating messages, verbal threats, threatening texts, menacing messages, hostile correspondence, threatening social media posts, aggressive messages, threatening emails, coercive communications, violent threats, threatening voice messages, threatening DMs, menacing texts, threats via messaging, threats on WhatsApp, direct threats, threatening remarks, threatening notes, online threats"
paragraph_marker,"paragraph break, section divider, textual segment, judgment excerpt, case paragraph, evidence section, court statement, legal paragraph, judicial segment, document break, case law paragraph, opinion section, finding paragraph, ruling excerpt, court's reasoning, verdict segment, legal analysis, statement of facts, summary paragraph, decision section"
phone_cell_site_near_scene,"cell site near scene, mast data places phone nearby, cell tower location near crime, mobile phone data near scene, cellular evidence at location, phone records near incident, mast location close to scene, cell site analysis for evidence, mobile network data proximity, phone signal near crime scene, cellular mast data nearby, location data from mobile phone, phone activity near incident, cell site evidence in case, mobile phone location tracking, signal strength near crime scene, cellular data close to event, phone geolocation evidence, mast data indicating presence, mobile signal near homicide, cell tower evidence in trial, phone location history relevant"
purchase_record_weapon,"bought knife, weapon purchase receipt, petrol can purchase, acquisition of firearm, knife buying record, purchase of a blade, receipt for weapon, transaction for knife, firearm purchase documentation, evidence of weapon buy, purchase history for weapon, buying a weapon, proof of knife purchase, purchase invoice for weapon, transaction receipt for knife, acquired a petrol can, purchase log for firearm, record of knife acquisition, evidence of blade purchase, buying a petrol can, weapon acquisition record, purchase evidence for weapon, knife transaction receipt"
search_history_weapons_or_poison,"internet search for weapons, searched for poison, Google search, searched online for weapons, looked up poison, internet queries for firearms, search for lethal substances, Googled methods of killing, searched for murder tools, online research for poisons, investigated weapon options, searched for toxic agents, looked for ways to harm, internet search for murder weapons, explored poison options, searched for deadly chemicals, Googled weaponry, searched for means of death, looked into killing methods, searched for firearms online, internet search for lethal weapons, searched for harmful substances, looked up ways to kill"
time_of_death_window_narrow,"narrow time window, precise time of death, short PMI, specific time frame, exact time of death, limited time window, defined time of death, restricted time period, narrow timeframe, short time interval, clear time of death, tight time window, precise death timing, brief post-mortem interval, specific death window, constrained time frame, narrow death window, focused time of death, shortened time frame, limited death period, exact timing of death, narrowed time frame, specific post-mortem window"
witness_self_defence_statements,"witness says self-defence, claimed he was attacked, asserted self-defense, testified he acted in self-defense, claimed he was defending himself, stated he feared for his life, said he was under attack, reported he was threatened, maintained he was provoked, indicated he was in danger, alleged he was assaulted first, described a life-threatening situation, explained his actions were defensive, claimed he had no choice, testified about imminent harm, asserted he was protecting himself, stated he was responding to aggression, claimed he acted to save himself, reported feeling threatened, maintained he was in a fight for survival, indicated he was defending against violence, alleged he was forced to react"
wound_blunt_force,"blunt force injuries, contusions, lacerations, blunt trauma, blunt force trauma, soft tissue injuries, bruising and swelling, impact injuries, blunt object injuries, contused wounds, traumatic injuries, blunt force impact, blunt force assault, non-penetrating injuries, external injuries, forceful impact, blunt force marks, contusions and abrasions, lacerated tissue, bruises and cuts, blunt force damage, trauma from blunt objects, blunt force evidence"
wound_sharp_force,"sharp force injuries, stab wounds, incised wounds, sharp force trauma, knife wounds, cutting injuries, lacerations, stab injuries, penetrating wounds, sharp object injuries, slashing wounds, incisions, blade injuries, stab-related injuries, sharp-edged wounds, puncture wounds, assault with a knife, knife attack injuries, sharp force assault, wounds from a blade, cut wounds, knife-related injuries, sharp force damage"
