src_label,dst_label
prior_conflict,flight_after_offence
confession_third_party,flight_after_offence
weapon_petrol_fire,defendant_intoxicated
planning_premeditation,cctv_presence
weapon_firearm,cctv_presence
weapon_sharp,weapon_petrol_fire
cctv_presence,assault_method_stabbing
abduction,manslaughter_unlawful_act
victim_intoxicated,victim_intoxicated
cctv_presence,murder
weapon_petrol_fire,weapon_present
search_history_weapons_or_poison,diminished_responsibility
motive_financial_gain,loss_of_control
wound_blunt_force,encounter
loss_of_control,wound_blunt_force
prior_assault,weapon_petrol_fire
time_of_death_window_narrow,mens_rea_intent_to_kill
